Time,Moist10cm,Temp10cm,EC10cm,Moist40cm,Temp40cm,EC40cm,Moist70cm,Temp70cm,EC70cm
2017/04/14 17:00,0.236,19.3,0.02,0.298,15.8,0.03,0.373,14.1,0.33
2017/04/14 17:10,0.236,19.4,0.02,0.298,15.8,0.03,0.373,14.1,0.33
2017/04/14 17:20,0.236,19.6,0.01,0.298,15.8,0.03,0.373,14.0,0.33
2017/04/14 17:30,0.236,19.6,0.01,0.298,15.8,0.03,0.373,14.0,0.33
2017/04/14 17:40,0.236,19.7,0.01,0.298,15.8,0.03,0.373,14.0,0.33
2017/04/14 17:50,0.236,19.8,0.01,0.298,15.8,0.03,0.373,14.0,0.33
2017/04/14 18:00,0.236,19.8,0.02,0.298,15.8,0.03,0.373,14.0,0.33
2017/04/14 18:10,0.236,19.9,0.02,0.298,15.8,0.03,0.373,14.0,0.33
2017/04/14 18:20,0.236,19.9,0.01,0.298,15.7,0.03,0.373,13.9,0.33
2017/04/14 18:30,0.236,19.9,0.01,0.298,15.8,0.03,0.373,13.9,0.33
2017/04/14 18:40,0.236,20.0,0.02,0.298,15.7,0.03,0.373,13.9,0.33
2017/04/14 18:50,0.236,20.0,0.02,0.298,15.7,0.03,0.373,13.9,0.33
2017/04/14 19:00,0.236,20.0,0.01,0.298,15.7,0.03,0.373,13.9,0.33
2017/04/14 19:10,0.236,20.0,0.01,0.298,15.7,0.03,0.373,13.9,0.33
2017/04/14 19:20,0.236,20.0,0.01,0.298,15.7,0.03,0.373,13.9,0.33
2017/04/14 19:30,0.236,20.0,0.02,0.298,15.7,0.03,0.373,13.9,0.33
2017/04/14 19:40,0.236,20.0,0.02,0.298,15.7,0.03,0.373,13.9,0.33
2017/04/14 19:50,0.236,20.0,0.01,0.298,15.7,0.03,0.373,13.9,0.33
2017/04/14 20:00,0.236,19.9,0.02,0.298,15.7,0.03,0.373,13.9,0.33
2017/04/14 20:10,0.236,19.9,0.01,0.298,15.7,0.03,0.373,13.9,0.33
2017/04/14 20:20,0.236,19.9,0.01,0.298,15.7,0.03,0.373,13.8,0.33
2017/04/14 20:30,0.236,19.8,0.01,0.298,15.7,0.03,0.373,13.8,0.33
2017/04/14 20:40,0.236,19.8,0.01,0.298,15.7,0.03,0.373,13.8,0.33
2017/04/14 20:50,0.236,19.8,0.01,0.298,15.7,0.03,0.373,13.8,0.33
2017/04/14 21:00,0.236,19.7,0.01,0.298,15.6,0.03,0.373,13.8,0.33
2017/04/14 21:10,0.236,19.6,0.01,0.298,15.6,0.03,0.373,13.8,0.33
2017/04/14 21:20,0.236,19.6,0.01,0.298,15.7,0.03,0.373,13.8,0.33
2017/04/14 21:30,0.236,19.6,0.01,0.298,15.6,0.03,0.373,13.8,0.33
2017/04/14 21:40,0.235,19.4,0.01,0.298,15.6,0.03,0.373,13.8,0.33
2017/04/14 21:50,0.235,19.4,0.01,0.298,15.6,0.03,0.373,13.8,0.33
2017/04/14 22:00,0.235,19.3,0.01,0.298,15.6,0.03,0.373,13.8,0.33
2017/04/14 22:10,0.235,19.3,0.01,0.298,15.6,0.03,0.373,13.8,0.33
